date,code,name,source_line,tier,tier_raw,rank,strategy_source,entry_type,entry_text,trigger_price,line_action,D_close,D_pct,d1,D1_open,D1_high,D1_low,D1_close,D1_volratio5,D2_close,全A等权_d1,A_成交,A_成交价,A_r_d1,A_r_d2,A_alpha_d1,A_踏空,A_状态,A_桶,B_状态,B_成交价,B_r_d1,B_r_d2,B_alpha_d1,B_桶,票自身_d1,票自身_alpha_d1,review_bucket,review_verdict,action_note,notes
2026-08-31,300684,中石科技,人工回溯,观望,震荡偏弱·冲97后滞涨回落,,人工推荐,未指定,,,不建仓,94.5,3.1659388646288367,2026-09-01,94.5,97.18,90.88,95.2,1.02,88.64,0.3144,True,94.5,0.741,-6.201,0.427,,已成交,观望踏空(涨),不建仓,,,,,观望踏空(涨),0.741,0.427,精准,收95.2 +0.74% 冲97.18回落 精准,,人工票
2026-08-31,300502,新易盛,人工回溯,观望,震荡偏多·资金驱动,,人工推荐,未指定,,,不建仓,401.87,0.7192982456140307,2026-09-01,401.78,415.0,388.0,402.81,1.05,386.7,0.3144,True,401.78,0.256,-3.753,-0.058,,已成交,观望踏空(涨),不建仓,,,,,观望踏空(涨),0.234,-0.08,半对,收+0.23% 冲高回吐 半对,,人工票·偏多但未给买入
2026-08-31,000712,锦龙股份,人工回溯,规避,下跌·见顶·规避,,人工推荐,未指定,,,不建仓,12.98,9.999999999999986,2026-09-01,12.08,13.84,11.68,13.5,3.1,13.16,0.3144,True,12.08,11.755,8.94,11.441,,已成交,规避打脸,不建仓,,,,,规避打脸,4.006,3.692,方向错,收+4.01%(低开砸跌停又拉回) 方向错,,人工票
2026-09-01,603893,瑞芯微,定时策略,买入候选,首选·买入 / 买入/偏多,1.0,策略0合议(0.61)+最大范围选股,限价,明日高开不追、回踩MA5≈186加仓；回踩不破是上车点,186.0,限价挂单,203.6,4.630248214193933,2026-09-02,201.04,207.8,197.3,197.49,1.22,193.9,-0.8708,True,201.04,-1.766,-3.552,-0.895,,已成交,选错·策略,限价未成交(未回踩),,,,,空仓·真避损,-3.001,-2.13,"方向短线落空(β拖累,逻辑未破)",-3.00%(冲207.80回落收197.49) α-1.35pct；方向短线落空，但仍在MA5(186)上、跌幅≈β+超买消化，无个股负α崩坏,,未给明确止损线；复盘称'回踩加仓'条件尚未触发也未证伪。
2026-09-01,002155,湖南黄金,定时策略,买入候选,顺势偏多·可参与（小仓可参与）,2.0,反转低换手极低-0.95(反向检验),限价,小仓可参与，回踩26一线更佳,26.0,限价挂单,26.45,-2.864487697392581,2026-09-02,25.73,26.39,24.99,26.21,0.91,27.54,-0.8708,True,25.73,1.866,7.035,2.737,,已成交,选对,限价成交,25.73,1.866,7.035,2.737,选对,-0.907,-0.036,相对成立(跑赢板块但绝对亏),-0.91%(探低24.99后收26.21重回26上) vs黄金股ETF-1.18% α+0.27pct；绝对跌但跑赢板块，顺势偏多相对成立,,选股说明表标'检验样本(反向)'，排序表给'顺势偏多·可参与'，按排序表归买入候选。复盘指出'回踩26'点位被跳过直接破位，偏离来自金价β隔夜转向。
2026-09-01,300684,中石科技,定时策略,观望,观望·不买（观望/不追高）,3.0,动量组合+最大范围选股,未指定,不追高；放量破97才有续攻可能（情景而非买点）,,不建仓,95.2,0.7407407407407529,2026-09-02,95.0,95.99,88.01,88.64,1.21,89.56,-0.8708,True,95.0,-6.695,-5.726,-5.824,,已成交,观望正确(跌),不建仓,,,,,观望正确(跌),-6.891,-6.02,观望正确(真避损),"-6.89%(放量换手14%,冲95.99后杀到88.01未拉回) vs芯片ETF-1.65% α-5.24pct；大幅跑输，观望完全正确",,'放量破97'是情景描述非入场口径，entry_type按未指定。
2026-09-01,688262,国芯科技,定时策略,观望,观望·不买（观望）,4.0,半导体多因子(1.81),未指定,观望；BOLL挤压待方向，跟半导体板块β,,不建仓,28.1,-2.2268615170493944,2026-09-02,27.8,28.0,27.37,27.79,0.7,28.12,-0.8708,True,27.8,-0.036,1.151,0.835,,已成交,观望正确(跌),不建仓,,,,,观望正确(跌),-1.103,-0.232,观望正确(跟β),-1.10% vs芯片ETF-1.65% α+0.55pct；跟β，观望正确,,
2026-09-01,002445,中南文化,定时策略,规避,规避（高置信，不碰）,5.0,反转低换手极高0.83(检验假阳性),未指定,不碰，不给方向,,不建仓,3.44,0.5847953216374213,2026-09-02,3.41,3.42,3.24,3.26,0.48,3.18,-0.8708,True,3.41,-4.399,-6.745,-3.528,,已成交,真避损,不建仓,,,,,真避损,-5.233,-4.362,规避正确(真避损),-5.23%(换手4.97%) vs深成指-1.88% α-3.35pct；大幅跑输，规避正确(反转否决层样本外验证),,文档标'检验样本(反转假阳性)'但表态为规避，tier按表态。
2026-09-02,002811,郑中设计,定时策略,买入候选,首选·买入 / 买入·方向偏多,1.0,量价放量(连续放量)+最大范围选股,限价,不追今天高点，回踩MA5≈14.0～14.2(也是支撑位)分批,14.2,限价挂单,14.54,5.28602461984069,2026-09-03,14.9,15.85,14.9,15.68,2.77,,-0.3076,False,,,,,True,未成交(高开未回踩),踏空(高开未回踩),限价未成交(未回踩),,,,,空仓·踏空(机会成本),7.84,8.148,强兑现(方向对/战术踏空),+7.84%(收15.68) α+8.15pp 强兑现；但战术'等回踩MA5'两天一股没买到，方向判对利润全让掉；无止盈规则,,trigger_price取回踩区间上沿14.2，区间14.0~14.2。1日偏多(中)/5日中性偏多(中低)。
2026-09-02,603270,金帝股份,定时策略,买入候选,可参与(1日尺度)/1日偏多、5日中性偏空,2.0,量价放量(近10日最大量)+最大范围选股,条件触发,关键看32.43～32.92；放量突破33→主题接力可看第二波；不能站稳33量缩→回补28.2~30,33.0,闸门,31.77,10.006925207756234,2026-09-03,33.0,34.95,32.81,34.95,1.01,,-0.3076,False,,,,,True,未成交(高开未回踩),踏空(高开未回踩),未触发·空仓(量比1.01<1.2),,,,,空仓·踏空(机会成本),10.009,10.317,强兑现(质地与预期不同),+10.01%涨停(收34.95) α+10.32pp 强兑现；站上33成立但量比仅1.01为缩量涨停，驱动是主线情绪+动量非个股α新增；涨停日无法卖出且缺退出规则,,'放量突破33'是盯点/情景条件而非硬性买入闸门，entry_type按条件触发处理属推断。复盘指出盯点'站上+放量'复合条件实际分叉。
