代码,名称,板块,收盘,涨跌%,BIAS20,量比,量状态,超买超卖,共振数,趋势评级,趋势分,拐点标签,拐点分,均线排列,MACD,KDJ_K,KDJ_J,RSI12,PE,PB,市值亿,PE有效,PE模式,营收增速,净利增速,ROE,毛利率,负债率,财报评级,财报红旗,审计闸门,主力净流入亿,主力净占比%,近5日主力亿,连续净流入天,买卖倾向,买卖分,ATR%,1日涨概率%,5日涨概率%,5日止盈%,5日止损%,近支撑,近压力,公告数
600539,狮头股份,,14.23,-0.49,-6.97,0.55,缩量,中性,0,偏空,-30,无,0,纠缠,空头,50.59,52.95,43.06,-157.1,11.45,34.41,False,亏损/PE失效,-2.323621,-9.733281,0.1753,33.540358,22.54881,,,,-0.08,-7.04,-0.64,0.0,偏卖出,-4,8.24,50.3,53.7,29.49,22.12,13.36,15.48,4
600315,上海家化,,17.36,-1.08,-2.1,0.64,缩量,中性,0,偏空,-30,无,0,纠缠,空头,39.35,27.86,44.63,42.81,1.65,116.7,True,PE适用,5.379021,2.302694,3.18,65.845182,33.426363,,,,0.05,5.3,-0.07,2.0,观望,1,3.21,45.5,46.9,11.47,8.6,17.31,17.83,1
000625,长安汽车,汽车,7.14,-1.79,-3.71,1.01,平量,中性,1,偏空,-30,超跌待反弹,25,纠缠,空头,12.18,-14.69,40.45,23.71,0.94,735.54,True,PE适用,-4.256801,-74.087448,0.45,14.075789,57.149392,差,现金含量不足/应收存货激增,通过,-0.67,-18.15,-1.77,0.0,观望,-1,2.54,42.3,41.2,9.09,6.82,6.74,7.91,2
300308,中际旭创,光模块,943.0,2.38,-2.31,0.49,缩量,中性,0,偏空,-30,超跌待反弹,25,空头排列,多头,46.61,51.19,46.2,67.65,28.42,10113.29,True,PE适用,192.116909,262.283657,17.54,46.058133,32.636185,优,现金含量不足,通过,16.45,5.49,-132.0,1.0,偏买入,3,10.2,53.7,55.8,36.49,27.37,815.27,1320.0,1
601838,成都银行,银行,18.06,-0.55,-1.13,0.77,平量,中性,0,中性,-20,超跌待反弹,25,纠缠,空头,40.78,48.9,47.42,5.73,0.84,,True,PE适用,6.542798,4.808494,3.5,59.70367,93.018596,差,,通过,,,,,观望,1,1.73,47.9,55.6,6.18,4.64,17.36,18.32,0
601975,招商南油,航运,3.56,-0.28,-1.47,0.68,缩量,中性,1,中性,-10,超跌待反弹,25,纠缠,多头,22.66,-13.5,42.76,11.9,1.45,173.64,True,PE适用,14.185863,51.728176,3.66,29.064561,11.076388,良,现金含量不足,通过,-0.96,-12.12,-2.1,0.0,观望,0,3.77,44.3,46.7,13.5,10.12,3.25,3.79,0
301152,天力锂能,,19.9,-0.25,0.36,0.82,平量,中性,0,中性,10,无,0,纠缠,多头,62.99,57.91,43.92,-15.88,2.01,24.35,False,亏损/PE失效,23.308199,121.295315,0.7,9.99363,52.733266,,,,-0.05,-6.81,-0.17,0.0,偏卖出,-3,4.49,49.3,49.9,16.07,12.05,18.39,21.1,1
000938,紫光股份,AI算力,39.95,0.88,3.96,1.21,平量,中性,0,中性,10,无,0,纠缠,空头,73.48,96.69,59.21,50.65,6.93,1076.25,True,PE适用,34.608772,126.05586,5.21,12.882941,82.371549,风险,现金含量不足/商誉高企/高负债/短债覆盖不足,通过,-2.39,-2.82,-5.45,0.0,观望,1,6.84,50.7,53.7,24.49,18.37,32.69,45.8,17
002142,宁波银行,银行,32.2,-0.28,0.8,0.72,平量,中性,0,中性,10,无,0,纠缠,空头,65.43,87.15,56.52,7.08,0.92,2132.3,True,PE适用,10.213571,10.30066,3.595,43.72547,93.29627,中,,通过,,,,,观望,0,2.26,47.3,53.3,8.1,6.07,29.92,32.26,1
300502,新易盛,光模块,448.08,4.23,1.14,0.74,平量,中性,0,中性,20,无,0,纠缠,多头,71.85,95.33,49.65,51.88,27.34,5571.45,True,PE适用,105.759481,76.799832,14.52,49.160955,31.034979,优,现金含量不足,通过,20.54,10.28,-55.09,1.0,偏买入,3,9.66,52.9,57.4,34.54,25.91,365.95,579.42,0
002300,太阳电缆,,7.26,-2.42,2.77,0.59,缩量,中性,0,中性,20,无,0,纠缠,多头,50.35,26.82,52.41,66.23,2.72,51.86,True,PE适用,22.831653,-23.106467,0.85,2.774394,65.095661,,,,-0.12,-5.53,0.81,0.0,偏卖出,-3,4.62,48.9,48.3,16.54,12.41,6.41,7.8,0
002302,西部建设,,4.73,-1.05,1.35,0.4,缩量,中性,0,中性,20,无,0,纠缠,多头,40.18,8.84,50.87,-8.75,0.79,61.35,False,亏损/PE失效,-14.920914,11.172464,-2.87,1.188612,70.796531,,,,-0.09,-19.89,-0.13,0.0,偏卖出,-3,4.03,45.3,43.6,14.43,10.82,4.31,5.86,1
002869,金溢科技,,15.93,-0.44,4.34,0.79,平量,中性,0,中性,20,无,0,纠缠,多头,41.59,18.32,53.15,-18.95,1.39,28.01,False,亏损/PE失效,22.149075,-260.746162,-1.24,27.245974,17.311415,,,,-0.01,-2.63,-0.04,0.0,观望,-1,4.14,47.5,45.5,14.81,11.11,13.15,20.13,0
003040,楚天龙,,11.74,-2.09,4.0,0.47,缩量,中性,0,中性,20,无,0,纠缠,多头,47.36,15.99,53.54,-257.08,4.2,60.41,False,亏损/PE失效,-36.737835,-166.842627,-0.85,25.339424,25.22462,,,,0.03,2.45,-0.34,1.0,观望,1,5.14,49.9,41.2,18.39,13.8,11.29,12.5,0
300141,和顺电气,,10.38,-2.35,3.51,0.62,缩量,中性,0,中性,20,无,0,纠缠,多头,46.09,24.41,53.7,-65.32,4.25,26.35,False,亏损/PE失效,113.088584,49.466452,-1.07,10.028547,44.283771,,,,-0.02,-3.18,-0.18,0.0,偏卖出,-3,4.97,50.5,52.3,17.78,13.33,9.28,10.48,9
300427,红相股份,,6.93,-1.0,5.5,0.69,缩量,中性,0,中性,20,无,0,纠缠,多头,64.15,39.02,54.17,-114.38,2.96,35.6,False,亏损/PE失效,1.38529,-77.04031,0.3,31.572834,25.006168,,,,-0.02,-1.25,-0.19,0.0,偏卖出,-3,4.94,49.5,47.7,17.66,13.25,6.57,7.1,0
300444,双杰电气,,10.67,-2.91,3.89,0.6,缩量,中性,0,中性,20,无,0,纠缠,多头,53.22,24.76,49.25,18.98,4.2,88.43,True,PE适用,-7.115383,29615.012404,14.34,14.768855,73.113728,,,,-0.42,-8.08,-0.14,0.0,观望,-1,6.15,50.7,54.5,21.99,16.49,9.53,10.79,0
300915,海融科技,,20.41,-1.5,4.87,0.66,缩量,中性,0,中性,20,无,0,纠缠,多头,73.41,66.12,54.98,-378.13,1.73,26.5,False,亏损/PE失效,13.091787,153.718987,1.2,30.061834,15.262273,,,,0.04,11.75,0.0,1.0,观望,1,4.13,49.3,49.5,14.79,11.09,19.57,20.69,0
301058,中粮科工,,8.32,-0.48,0.92,0.49,缩量,中性,0,中性,20,无,0,纠缠,多头,38.3,11.28,51.34,18.86,1.88,44.01,True,PE适用,20.463919,0.52129,1.6,17.844424,47.70162,,,,0.15,14.49,0.08,1.0,观望,1,2.46,48.5,46.5,8.78,6.59,7.8,8.33,0
300418,昆仑万维,传媒/AI应用,43.62,3.44,5.04,0.96,平量,中性,0,中性,20,无,0,纠缠,多头,56.21,35.83,53.04,-33.26,4.65,569.01,False,亏损/PE失效,45.691282,-15.343005,-6.98,66.233597,26.79576,风险,增收不增利/现金含量不足/商誉高企/扣非为负,通过,-2.85,-12.33,-7.44,0.0,观望,-1,5.87,47.9,48.5,21.01,15.76,39.9,44.65,20
301112,信邦智能,,31.65,-0.09,4.62,0.76,平量,中性,0,中性,20,无,0,纠缠,多头,53.02,35.79,52.32,-41.95,3.25,36.16,False,亏损/PE失效,-21.418359,-85.139284,0.16,27.636158,26.074462,,,,-0.02,-6.56,-0.07,0.0,观望,-1,5.83,49.3,49.3,20.86,15.64,31.43,31.72,0
300285,国瓷材料,新材料,70.96,0.42,10.9,0.6,缩量,中性,1,中性,20,无,0,纠缠,多头,64.67,55.49,53.56,118.32,10.35,758.85,True,PE适用,16.637709,9.361143,4.98,37.662898,26.608403,良,,通过,-7.86,-5.06,-5.8,0.0,观望,1,9.51,50.5,53.9,34.02,25.52,53.8,112.88,7
002129,TCL中环,光伏,9.34,0.21,4.57,0.64,缩量,中性,0,中性,20,无,0,纠缠,多头,74.73,77.8,52.39,-4.01,1.8,360.64,False,亏损/PE失效,7.342887,13.620144,-7.81,-8.639945,68.187898,风险,现金含量不足/应收存货激增/短债覆盖不足/扣非为负,通过,2.28,12.32,0.66,2.0,偏买入,2,3.27,46.3,45.9,11.71,8.78,8.89,9.5,1
600326,西藏天路,,7.3,-2.54,4.72,0.43,缩量,中性,0,中性,20,无,0,纠缠,多头,53.98,28.59,53.19,330.88,2.54,99.46,False,亏损/PE失效,6.349666,70.05002,-0.94,1.058345,49.591676,,,,,,,,观望,0,5.85,48.7,47.1,20.93,15.7,6.96,7.39,0
002286,保龄宝,,7.89,-1.13,0.96,0.72,平量,中性,0,中性,20,无,0,纠缠,多头,45.94,7.33,46.73,19.69,1.32,30.4,True,PE适用,9.206853,7.502076,2.39,15.458693,21.363047,,,,-0.04,-9.55,-0.1,0.0,偏卖出,-3,2.79,48.7,47.7,9.98,7.48,7.15,8.19,0
600712,南宁百货,,5.34,-2.55,5.08,0.65,缩量,中性,0,中性,20,无,0,纠缠,多头,50.44,31.06,54.51,-95.4,4.02,30.5,False,亏损/PE失效,1.0833,141.373951,0.36,27.648015,43.069368,,,,,,,,观望,0,6.11,48.7,47.3,21.87,16.4,5.3,6.06,4
600967,内蒙一机,,11.56,-0.43,1.19,0.54,缩量,中性,0,中性,20,无,0,纠缠,多头,45.78,30.64,52.47,70.13,1.68,201.15,True,PE适用,-4.761434,-25.754726,1.16,10.299171,46.788929,,,,-0.1,-4.59,-0.71,0.0,偏卖出,-3,3.46,49.5,47.7,12.38,9.28,11.16,12.25,0
603200,上海洗霸,,37.2,-0.75,3.88,0.78,平量,中性,0,中性,20,无,0,纠缠,多头,60.39,36.54,48.65,81.13,6.05,66.52,True,PE适用,8.670878,-81.078662,0.17,31.546954,36.409445,,,,,,,,偏卖出,-2,4.7,50.1,47.1,16.83,12.62,34.89,40.75,1
603421,鼎信通讯,,6.0,-0.99,6.04,0.45,缩量,中性,0,中性,20,无,0,纠缠,多头,59.77,41.44,54.96,-6.61,1.63,39.13,False,亏损/PE失效,-13.43416,32.395634,-3.82,23.669976,31.380381,,,,,,,,观望,0,3.94,51.5,49.7,14.1,10.57,5.89,6.62,0
002222,福晶科技,光学元件,64.96,1.99,12.94,0.65,缩量,超买,2,中性,20,无,0,纠缠,多头,85.58,101.2,53.68,97.83,15.73,287.51,True,PE适用,35.625456,30.704128,3.63,44.929525,26.659553,良,,通过,1.53,7.33,5.22,1.0,观望,1,6.53,51.1,49.5,23.35,17.51,64.72,65.28,1
300476,胜宏科技,AI算力,269.33,-0.73,13.8,0.64,缩量,超买,2,中性,20,无,0,纠缠,多头,84.1,92.64,54.94,60.06,16.15,2810.76,True,PE适用,27.992782,39.947998,7.62,34.458493,55.233938,中,应收存货激增/短债覆盖不足,通过,-10.45,-8.84,29.06,0.0,观望,-1,8.05,47.5,53.5,28.8,21.6,258.53,276.51,2
