date,指数多头,量能,宽度,涨跌停,fwd1,fwd5
2025-03-26,,,0.434,0.9118,0.0033309035129995834,-0.008922637055006732
2025-03-27,,0.7733,0.4041,0.5392,-0.0043856035430671625,-0.018031935616105277
2025-03-28,,0.7773,0.2887,0.3333,-0.0071159179457525035,-0.08319570613353311
2025-03-31,,0.864,0.1982,0.5111,9.723957928708948e-05,-0.06085113958098487
2025-04-01,,0.6733,0.2908,0.766,-0.0008483199766237126,-0.05167343847905337
2025-04-02,,0.5677,0.2916,0.7313,-0.0058910211292080294,-0.03842846720176629
2025-04-03,,0.7652,0.2747,0.5644,-0.07045494979545541,-0.028741658364631717
2025-04-07,,1.0,0.0513,0.0075,0.01708288282214432,0.04727783518380724
2025-04-08,,0.7171,0.0798,0.4308,0.009870550206135142,0.03026110460865805
2025-04-09,,0.6907,0.1118,0.9375,0.013106509341178185,0.023333552132286384
2025-04-10,,0.6095,0.1496,0.9945,0.004123567815180973,0.00993463387338811
2025-04-11,,0.4725,0.1639,0.8525,0.002299682950377191,0.005867457739826332
2025-04-14,,0.5106,0.2142,0.9779,0.0005567759877120881,0.006846934752664291
2025-04-15,,0.4202,0.2309,0.8764,0.00308010533774139,0.0060398246852431114
2025-04-16,,0.5335,0.2169,0.8116,-0.00015850212838142141,0.0037272915219914715
2025-04-17,,0.3914,0.251,0.8839,7.979381913369998e-05,0.0032170428993838485
2025-04-18,,,0.2459,0.6408,0.003275685794360994,0.0038358149174968492
2025-04-21,,0.8404,0.356,0.8808,-0.00024529175372134393,-0.0008617973312023963
2025-04-22,,0.802,0.4068,0.7642,0.0007743755325448909,-0.0023455634561134753
2025-04-23,0.5,0.8351,0.4959,0.6496,-0.0006667753928667475,-0.004307474665703914
2025-04-24,0.5,0.6652,0.4564,0.6381,0.0006966308203342209,0.006390781166704773
2025-04-25,0.5,0.7501,0.5251,0.7339,-0.001419305239403923,0.011785945141656873
2025-04-28,1.0,0.7024,0.4264,0.3649,-0.0017299734177331771,0.01884840957528544
2025-04-29,1.0,0.6669,0.5396,0.6,-0.0011936711113711418,0.018828730022889317
2025-04-30,0.5,0.8424,0.6325,0.6901,0.01007059806997379,0.031835792488165815
2025-05-06,1.0,0.8189,0.8028,0.8974,0.006061269004120851,0.023031357088213023
2025-05-07,1.0,0.8135,0.8499,0.8899,0.005550983955379785,0.029121780382067364
2025-05-08,1.0,0.6908,0.8529,0.8974,-0.0017492554886566758,0.0140940466007351
2025-05-09,1.0,0.6301,0.7904,0.7,0.011557771724635346,0.011161480008380353
2025-05-12,1.0,0.8733,0.8186,0.9579,0.0014518804456762346,-0.0034607173127829682
2025-05-13,1.0,0.7229,0.8163,0.8375,0.012050664094831687,0.0004907785502825668
2025-05-14,1.0,0.8388,0.8167,0.9053,-0.009132557660878726,-0.006804125206798406
