date,指数多头,量能,宽度,涨跌停,fwd1,fwd5
2018-01-02,,,1.0,0.9,0.008301985044822269,0.01300723710521634
2018-01-03,,0.8001,1.0,0.9216,0.001494160840803671,-0.003044657027866271
2018-01-04,,0.8,1.0,0.907,0.0008918907504631424,0.0023892649350683026
2018-01-05,,0.8002,1.0,0.6897,0.001759702819641662,-0.0028382010029501803
2018-01-08,,0.8,1.0,0.8974,0.0005130926366161415,-0.029294125448075303
2018-01-09,,0.8001,1.0,0.9143,-0.007675350679221982,-0.021740276968718053
2018-01-10,,0.8,1.0,0.8378,0.006952821707317147,-0.012113379362746368
2018-01-11,,0.8,1.0,0.8182,-0.004327766372337338,-0.016792904603105674
2018-01-12,,0.8,1.0,0.6216,-0.024818209648148182,-0.013604055436128415
2018-01-15,,0.8001,1.0,0.1792,0.00829889521752536,0.017050532770316984
2018-01-16,,0.8001,1.0,0.9167,0.002089957618753857,0.0112406829088314
2018-01-17,,0.8001,1.0,0.6279,0.0021829816805427615,0.016589565701811804
2018-01-18,,0.8001,1.0,0.8864,-0.00109848885018482,0.012881456341200304
2018-01-19,,0.8001,1.0,0.7143,0.005487872178736808,0.010899309801642998
2018-01-22,,0.8001,1.0,0.5745,0.0025390386440677926,-0.006020993851527878
2018-01-23,,0.8,1.0,0.8718,0.007390438327171678,-0.010080054736353206
2018-01-24,,0.8001,1.0,0.84,-0.0014725782630118367,-0.04178463666685572
2018-01-25,,0.8001,1.0,0.7308,-0.0030532774992301226,-0.07826924179052575
2018-01-26,,0.8,1.0,0.6667,-0.011341855522020383,-0.08223931643720372
2018-01-29,0.5,0.8,0.3052,0.3947,-0.0015549784046811066,-0.07831452328688449
2018-01-30,0.5,0.8,0.3063,0.5417,-0.024873678423645296,-0.12639206350094834
2018-01-31,0.0,0.8001,0.2015,0.1169,-0.03949208836615381,-0.0994331221055833
2018-02-01,0.0,0.8001,0.1099,0.0363,-0.0073473220147648455,-0.0503740437454111
2018-02-02,0.0,0.8001,0.1146,0.2857,-0.007113870184501825,-0.07327992169663788
2018-02-05,0.0,0.8001,0.1192,0.3258,-0.05363649850030727,-0.04288531603379264
2018-02-06,0.0,0.8001,0.0639,0.022,0.005218050666871532,0.012195497897407037
2018-02-07,0.0,0.8,0.0682,0.4167,0.012832324244471671,0.008743834620448254
2018-02-08,0.0,0.8001,0.067,0.6667,-0.03129104526719917,0.013639960628401004
2018-02-09,0.0,0.8,0.0395,0.104,0.025450852529935508,0.05127211909717455
2018-02-12,0.0,0.8001,0.0663,0.9146,0.0008255976420017408,0.04974944778660362
2018-02-13,0.0,0.8,0.0768,0.5962,0.0017901810132023854,0.05207082959721365
2018-02-14,0.0,0.8,0.087,0.6122,0.017748294498004302,0.050741094424323396
2018-02-22,0.0,0.8,0.1381,0.8793,0.004673015257826929,0.04790093072272117
2018-02-23,0.5,0.8001,0.1556,0.7742,0.02396558095734913,0.03826149017780045
2018-02-26,0.5,0.8001,0.2986,0.9118,0.003038790840490746,0.021636677533217963
2018-02-27,0.5,0.8001,0.3524,0.8,0.000523996644171687,0.030233795833841892
2018-02-28,0.5,0.8,0.4155,0.7209,0.014997310665032071,0.024350856273493537
2018-03-01,0.5,0.8002,0.6135,1.0,-0.0045687799479324775,0.01944988695807992
2018-03-02,0.5,0.8001,0.6301,0.7429,0.00756967674732012,0.04082779908367695
2018-03-05,1.0,0.8,0.7114,0.88,0.011479407093414995,0.048230597206949
2018-03-06,1.0,0.8,0.8217,0.9833,-0.0051892911791729945,0.03057557018824597
2018-03-07,1.0,0.8,0.8092,0.8571,0.010141093047473237,0.025950905248660394
2018-03-08,1.0,0.8,0.8397,0.9592,0.01630545960183749,0.006986176779019138
2018-03-09,1.0,0.8,0.877,0.9773,0.014735929338437925,-0.009424169443038255
2018-03-12,1.0,0.8,0.8967,0.9623,-0.0055566308820826915,-0.01881241793818378
2018-03-13,1.0,0.8,0.8878,0.7073,-0.009653462793261847,-0.009323609789751885
2018-03-14,1.0,0.8,0.8646,0.4286,-0.00853139064318531,-0.004656232211415756
2018-03-15,1.0,0.8,0.7795,0.7419,-0.00025675827565085907,0.006418793890934804
2018-03-16,1.0,0.8,0.7218,0.8571,0.005118701895865163,-0.04781621897378796
2018-03-19,1.0,0.8,0.7129,0.8372,0.004060370511485445,-0.03855119799695961
2018-03-20,0.5,0.8,0.6764,0.9574,-0.004987639252680087,-0.017389180947668725
2018-03-21,0.5,0.8,0.6199,0.7292,0.0025005172098009343,-0.016891703871360964
2018-03-22,0.5,0.8,0.5746,0.8727,-0.054132031576852424,-0.009286885569264935
2018-03-23,0.5,0.8001,0.1697,0.0623,0.014898794817875816,0.0638396038821194
2018-03-26,0.5,0.8001,0.2104,0.9241,0.02616029162534428,0.05350975877239006
2018-03-27,0.5,0.8,0.3592,0.9875,-0.004483883512852005,0.019221139821640643
2018-03-28,0.0,0.8001,0.3423,0.4038,0.010255343723990284,0.019795554345245714
2018-03-29,0.0,0.8,0.404,0.9038,0.01568434917736994,0.013692867829212974
2018-03-30,0.0,0.8001,0.517,0.9545,0.005044163241590294,0.00024519776005704763
2018-04-02,0.5,0.8,0.5427,0.9216,-0.007238183261999431,0.003169593739743126
2018-04-03,0.5,0.8001,0.4723,0.8043,-0.003922828709874704,0.00535134165084683
2018-04-04,0.5,0.8,0.4361,0.7222,0.0042097479792111425,0.0065220309422062694
2018-04-09,0.5,0.8,0.4349,0.9219,0.00221026007640579,-0.004433478706002858
2018-04-10,0.5,0.8001,0.4484,0.7368,0.007982589856357025,-0.028567535502988073
2018-04-11,1.0,0.8,0.5289,0.96,-0.005079070751604076,-0.025098814836424843
2018-04-12,1.0,0.8001,0.4956,0.6571,-0.002762938799266701,-0.017174142844500362
2018-04-13,1.0,0.8,0.4796,0.4783,-0.006720593577757339,-0.037805444292840384
2018-04-16,1.0,0.8,0.4172,0.6061,-0.02208485112095293,-0.03747621309349247
2018-04-17,0.5,0.8001,0.2576,0.2192,0.01158182106259531,0.007550427425651485
2018-04-18,0.5,0.8001,0.3191,0.7885,0.003008335584732791,0.0010373747554477397
2018-04-19,0.5,0.8,0.3513,0.8065,-0.02369675761904766,-0.021583342670409067
2018-04-20,0.5,0.8001,0.2254,0.1415,-0.006380726169108675,0.0036979099238252378
2018-04-23,0.5,0.8,0.1944,0.4211,0.02366179375763111,0.005011850433747744
2018-04-24,0.0,0.8,0.3101,0.9383,0.005042708476800994,-0.007131353950847519
2018-04-25,0.0,0.8,0.3379,0.7609,-0.019656920186145843,-0.013623439942297533
2018-04-26,0.0,0.8001,0.2368,0.1696,0.0015298865660262617,0.024859179853716107
2018-04-27,0.0,0.8001,0.2528,0.3878,-0.005079979597438222,0.0314375494845156
2018-05-02,0.0,0.8,0.2465,0.3953,0.011293248673376333,0.03867991026342721
2018-05-03,0.0,0.8,0.3052,0.7344,-0.0015289802500763061,0.03338616101668768
2018-05-04,0.0,0.8,0.3222,0.6047,0.01859030864897826,0.02311391887238945
2018-05-07,0.5,0.8,0.4622,0.8525,0.007958510048780454,-0.0014422189100415927
2018-05-08,0.5,0.8001,0.5478,0.9123,0.0019059690307832167,0.002508570086691364
2018-05-09,0.5,0.8001,0.5733,0.8235,0.006139078634562534,-0.0037512345705970063
2018-05-10,0.5,0.8,0.6296,0.9091,-0.0114541529259371,-0.011036369294140314
2018-05-11,0.5,0.8,0.5429,0.4694,-0.005857256281621481,0.00563733202284844
2018-05-14,1.0,0.8,0.484,0.475,0.011946492983846424,0.025513967152606343
2018-05-15,1.0,0.8,0.5964,0.9375,-0.004350072900670354,0.01961918131724172
2018-05-16,1.0,0.8001,0.5516,0.6897,-0.001218379655802626,0.013547281767784858
2018-05-17,1.0,0.8001,0.5227,0.6176,0.005212504654279693,0.013494944676705423
2018-05-18,0.5,0.8,0.5765,0.8,0.013792185872677498,0.0009778160428455251
2018-05-21,1.0,0.8,0.7097,0.9074,0.006129694730429458,-0.020907453388814612
2018-05-22,1.0,0.8,0.7241,0.8611,-0.010279233958587097,-0.034687786254029684
2018-05-23,1.0,0.8001,0.6123,0.4583,-0.001269954284409236,-0.062120848705286336
2018-05-24,1.0,0.8,0.5653,0.7692,-0.007202332036529757,-0.044093097497265865
2018-05-25,1.0,0.8001,0.4709,0.5741,-0.00837325553864876,-0.04623580497256585
2018-05-28,1.0,0.8001,0.3827,0.4253,-0.008031175094339593,-0.040247409481795615
2018-05-29,0.5,0.8,0.3278,0.3452,-0.038405959382227794,-0.016157160007662097
2018-05-30,0.5,0.8,0.1418,0.0574,0.0179274623158856,0.02636171392914055
2018-05-31,0.5,0.8,0.2059,0.8734,-0.009427731789409588,-9.650427360696767e-05
2018-06-01,0.0,0.8,0.1799,0.4211,-0.002147132608034119,-0.0006998118858035918
2018-06-04,0.0,0.8,0.1771,0.375,0.016867717285453443,-0.004954003938104856
2018-06-05,0.0,0.8,0.2396,0.8136,0.0031513850730371384,-0.014166780494764608
2018-06-06,0.0,0.8,0.27,0.8919,-0.008313332276323915,-0.03444487388342554
2018-06-07,0.0,0.8,0.2463,0.6316,-0.010025409257681805,-0.029524479129407255
2018-06-08,0.0,0.8001,0.2042,0.6316,-0.006395163168136264,-0.04266575970288977
2018-06-11,0.5,0.8001,0.1801,0.6486,0.007452901182370741,-0.10422846876733627
2018-06-12,0.5,0.8001,0.2102,0.725,-0.017482934269219097,-0.10045787737704948
2018-06-13,0.0,0.8001,0.1584,0.2771,-0.003259773193558191,-0.1088303145944689
2018-06-14,0.0,0.8,0.163,0.5283,-0.023430728173807425,-0.09223286313244272
2018-06-15,0.0,0.8,0.1182,0.1224,-0.07029030336068065,-0.07249653048361648
2018-06-19,0.0,0.8,0.0487,0.0123,0.011693595492102027,0.008803249373674937
2018-06-20,0.0,0.8001,0.0725,0.5238,-0.02662765605710815,-0.00750405328423831
2018-06-21,0.0,0.8,0.0624,0.0943,0.015303860428180993,0.00928379652214173
2018-06-22,0.0,0.8001,0.0761,0.697,-0.0021985253096539203,0.023227086665894348
2018-06-25,0.0,0.8001,0.0743,0.5938,0.011202862058287799,0.01205525953787312
2018-06-26,0.0,0.8,0.0834,0.75,-0.004660429605462868,0.016347536231320126
2018-06-27,0.0,0.8001,0.0806,0.6364,-0.010163277769347445,0.0019976554709151273
2018-06-28,0.0,0.8,0.0709,0.4219,0.029330317960546193,-0.01446125494554762
2018-06-29,0.0,0.8,0.1376,0.9259,-0.01309274979666164,-0.03788430166606893
2018-07-02,0.5,0.8,0.1339,0.5254,0.015491523607402913,-0.003232385464737586
2018-07-03,0.5,0.8001,0.1942,0.7397,-0.018713697451456235,-0.008945994503057442
2018-07-04,0.5,0.8,0.1476,0.3973,-0.026422431520024436,-0.013949521542061416
2018-07-05,0.5,0.8,0.0943,0.1268,0.004866488152305726,0.03975898650313803
2018-07-06,0.0,0.8,0.1244,0.5455,0.022452068141297854,0.03781461888871829
2018-07-09,0.0,0.8001,0.246,0.8387,0.009670586547438687,0.015126487712315617
2018-07-10,0.0,0.8001,0.3571,0.8571,-0.02366791036071525,0.008262636076876495
2018-07-11,0.0,0.8,0.2361,0.4615,0.026606698135798634,0.02824689880104181
2018-07-12,0.0,0.8,0.4892,0.9189,0.002987370124242439,-0.009875628783917012
2018-07-13,0.5,0.8001,0.5883,0.7692,9.97845818182519e-05,-0.00111493314449862
2018-07-16,1.0,0.8,0.6095,0.7586,0.0028436253848485027,0.006335068291811297
2018-07-17,1.0,0.8,0.6212,0.8545,-0.004316526815151489,0.02107058908089332
2018-07-18,1.0,0.8,0.6009,0.7609,-0.011455018572727238,0.02701420546867417
2018-07-19,1.0,0.8,0.4306,0.6279,0.01186187855498333,0.036837038628089624
2018-07-20,1.0,0.8001,0.5783,0.8537,0.007558845767949185,0.019067494909744243
2018-07-23,1.0,0.8,0.6536,0.746,0.017528021820660378,-0.0033673247007465212
2018-07-24,1.0,0.8,0.7921,0.9722,0.0014793120539231541,-0.019122868247437697
2018-07-25,1.0,0.8,0.8033,0.9167,-0.002000122650711922,-0.03599504264593545
2018-07-26,1.0,0.8,0.7478,0.9153,-0.005479635316570586,-0.0597990404130615
2018-07-27,1.0,0.8,0.6971,0.7778,-0.014622610381587076,-0.06562342972823065
2018-07-30,1.0,0.8001,0.5391,0.5217,0.0014421484039974786,-0.07031433421490263
2018-07-31,1.0,0.8,0.5573,0.6739,-0.01574724269230765,-0.04688614909632138
2018-08-01,0.5,0.8,0.4193,0.4561,-0.026643550748031486,-0.04657295926777738
2018-08-02,0.5,0.8,0.1881,0.5962,-0.011640524354936566,0.0012491749225362891
2018-08-03,0.5,0.8,0.1722,0.3176,-0.019569557217680944,0.01951257466524625
2018-08-06,0.0,0.8001,0.1267,0.2333,0.026678605092340213,0.04297641464160695
2018-08-07,0.0,0.8,0.2228,0.9211,-0.01542382072963977,0.015407571458504021
2018-08-08,0.0,0.8,0.1931,0.3467,0.02217820565546469,0.01140620124829983
2018-08-09,0.0,0.8,0.297,0.9149,0.006387759358353451,-0.020283084780163607
2018-08-10,0.0,0.8001,0.3197,0.8611,0.00299481676755442,-0.044096584408327866
2018-08-13,0.0,0.8,0.3239,0.8095,-0.0004594404721548484,-0.04151554934808077
2018-08-14,0.5,0.8,0.3197,0.7778,-0.01930369508171914,-0.030518091857453022
2018-08-15,0.5,0.8,0.1827,0.3962,-0.009848587823850008,-0.02298148744058892
2018-08-16,0.5,0.8,0.1303,0.4615,-0.018074015426755463,-0.0066988758183702535
2018-08-17,0.5,0.8,0.0848,0.2034,0.00570300333232443,0.008863567363580405
2018-08-20,0.0,0.8,0.1194,0.7358,0.01100908654055699,0.023562343664551344
2018-08-21,0.0,0.8,0.1796,0.92,-0.011679911655569142,0.014491384972989518
2018-08-22,0.0,0.8,0.1557,0.4844,0.006652891610169576,0.021190192937137864
2018-08-23,0.0,0.8,0.2048,0.8205,-0.0026897910744552167,-0.001259277432324235
2018-08-24,0.0,0.8,0.2153,0.5641,0.020355731361573426,-0.00936902713520782
2018-08-27,0.0,0.8001,0.4303,0.9057,0.0020493766434834804,-0.030373405522535868
2018-08-28,0.5,0.8001,0.4952,0.7742,-0.005153915893559069,-0.020472991405861563
2018-08-29,0.5,0.8,0.4567,0.7353,-0.015476996062896875,-0.028602674885285895
2018-08-30,0.5,0.8,0.2986,0.2917,-0.010787925042321622,-0.01605432125515316
2018-08-31,0.5,0.8001,0.2301,0.2857,-0.001278901976427882,-0.0027843732162742274
2018-09-03,0.0,0.8001,0.2289,0.6842,0.012280844974312588,-0.020426879292601785
2018-09-04,0.0,0.8,0.3312,0.85,-0.013410741589604092,-0.02958963050852892
