date,情绪分,标签,有效因子数,f_指数多头,f_科技共振,f_量能,f_宽度,f_涨跌停,fwd1,fwd5,fwd20
2025-03-26,95.59,牛市共振,2,,,,1.0,0.9118,0.0033309035129995834,-0.008922637055006732,-0.03444432339284231
2025-03-27,77.08,分化,3,,,0.7733,1.0,0.5392,-0.0043856035430671625,-0.018031935616105277,-0.03697941619545453
2025-03-28,70.35,分化,3,,,0.7773,1.0,0.3333,-0.0071159179457525035,-0.08319570613353311,-0.034110226743897964
2025-03-31,79.17,分化,3,,,0.864,1.0,0.5111,9.723957928708948e-05,-0.06085113958098487,-0.028870714062643854
2025-04-01,81.31,牛市共振,3,,,0.6733,1.0,0.766,-0.0008483199766237126,-0.05167343847905337,-0.030124233348183704
2025-04-02,76.63,分化,3,,,0.5677,1.0,0.7313,-0.0058910211292080294,-0.03842846720176629,-0.019525248005733742
2025-04-03,77.65,分化,3,,,0.7652,1.0,0.5644,-0.07045494979545541,-0.028741658364631717,-0.007736883798873162
2025-04-07,66.92,分化,3,,,1.0,1.0,0.0075,0.01708288282214432,0.04727783518380724,0.07339730615435669
2025-04-08,71.6,分化,3,,,0.7171,1.0,0.4308,0.009870550206135142,0.03026110460865805,0.053522459302298486
2025-04-09,87.61,牛市共振,3,,,0.6907,1.0,0.9375,0.013106509341178185,0.023333552132286384,0.0552826113962428
2025-04-10,86.8,牛市共振,3,,,0.6095,1.0,0.9945,0.004123567815180973,0.00993463387338811,0.043142794800160145
2025-04-11,77.5,分化,3,,,0.4725,1.0,0.8525,0.002299682950377191,0.005867457739826332,0.05137793002937996
2025-04-14,82.95,牛市共振,3,,,0.5106,1.0,0.9779,0.0005567759877120881,0.006846934752664291,0.03938590242135054
2025-04-15,76.55,分化,3,,,0.4202,1.0,0.8764,0.00308010533774139,0.0060398246852431114,0.033991601162915774
2025-04-16,78.17,分化,3,,,0.5335,1.0,0.8116,-0.00015850212838142141,0.0037272915219914715,0.02765180952179014
2025-04-17,75.84,分化,3,,,0.3914,1.0,0.8839,7.979381913369998e-05,0.0032170428993838485,0.03338841139254267
2025-04-18,82.04,牛市共振,2,,,,1.0,0.6408,0.003275685794360994,0.0038358149174968492,0.038133021322865446
2025-04-21,90.71,牛市共振,3,,,0.8404,1.0,0.8808,-0.00024529175372134393,-0.0008617973312023963,0.03407888217134247
2025-04-22,85.54,牛市共振,3,,,0.802,1.0,0.7642,0.0007743755325448909,-0.0023455634561134753,0.025983917027281755
2025-04-23,74.62,分化,4,0.5,,0.8351,1.0,0.6496,-0.0006667753928667475,-0.004307474665703914,0.019336301544510492
2025-04-24,70.08,分化,4,0.5,,0.6652,1.0,0.6381,0.0006966308203342209,0.006390781166704773,0.014543948729578426
2025-04-25,74.6,分化,4,0.5,,0.7501,1.0,0.7339,-0.001419305239403923,0.011785945141656873,0.013003163960901176
2025-04-28,76.68,分化,4,1.0,,0.7024,1.0,0.3649,-0.0017299734177331771,0.01884840957528544,0.02038306981126703
2025-04-29,81.67,牛市共振,4,1.0,,0.6669,1.0,0.6,-0.0011936711113711418,0.018828730022889317,0.01725941091475036
2025-04-30,75.81,分化,4,0.5,,0.8424,1.0,0.6901,0.01007059806997379,0.031835792488165815,0.021599437008272382
2025-05-06,92.91,牛市共振,4,1.0,,0.8189,1.0,0.8974,0.006061269004120851,0.023031357088213023,0.015806703372923003
2025-05-07,92.58,牛市共振,4,1.0,,0.8135,1.0,0.8899,0.005550983955379785,0.029121780382067364,0.011986735660856285
2025-05-08,89.7,牛市共振,4,1.0,,0.6908,1.0,0.8974,-0.0017492554886566758,0.0140940466007351,0.005473233214192685
2025-05-09,83.25,牛市共振,4,1.0,,0.6301,1.0,0.7,0.011557771724635346,0.011161480008380353,0.01016321072314108
2025-05-12,95.78,牛市共振,4,1.0,,0.8733,1.0,0.9579,0.0014518804456762346,-0.0034607173127829682,-0.006462843252121653
2025-05-13,89.01,牛市共振,4,1.0,,0.7229,1.0,0.8375,0.012050664094831687,0.0004907785502825668,-0.0004191457224486106
2025-05-14,93.6,牛市共振,4,1.0,,0.8388,1.0,0.9053,-0.009132557660878726,-0.006804125206798406,-0.012936564284110719
2025-05-15,82.1,牛市共振,4,1.0,,0.6047,1.0,0.6792,-0.004636006272728532,0.0017060558366208678,-0.011009676701407956
2025-05-16,84.96,牛市共振,4,1.0,,0.5652,1.0,0.8333,-0.003070156289188164,-0.0017513886426869796,-0.003931592759572777
2025-05-19,87.7,牛市共振,4,1.0,,0.5243,1.0,0.9835,0.005422855831583195,-0.0043946250866585546,-0.0017452789298353366
2025-05-20,86.8,牛市共振,4,1.0,,0.5968,1.0,0.875,0.004671473451456354,-0.015077226611816985,-0.005951432858054884
2025-05-21,87.2,牛市共振,4,1.0,,0.6229,1.0,0.8652,-0.0006423277491894863,-0.02046381752417481,-0.018713579096128252
